GEST_ID,Stereotype_ID,Source,Neutral,Masculine,Feminine
25,12.0,I try to be a role model to my children to motivate them to be hardworking and honest.,Προσπαθώ να γίνω πρότυπο για τα παιδιά μου για να τα παρακινήσω να είναι εργατικά και ειλικρινή,,
26,12.0,I paid for everyone's coffee.,Πλήρωσα για τον καφέ όλων,,
27,10.0,I wouldn't have started it unless I knew I would be able to finish.,Δεν θα το είχα ξεκινήσει αν δεν ήξερα ότι θα μπορούσα να τελειώσω,,
28,1.0,I try to avoid confrontation because I tend to cry when I am under pressure.,Προσπαθώ να αποφύγω την αντιπαράθεση γιατί τείνω να κλαίω όταν είμαι υπό πίεση,,
29,3.0,I decided to work in a non-profit organization.,Αποφάσισα να εργαστώ σε έναν μη κερδοσκοπικό οργανισμό,,
32,8.0,I was never scared of heights.,Ποτέ δεν φοβήθηκα τα ύψη,,
33,5.0,I like talking to new people.,Μου αρέσει να μιλάω με νέους ανθρώπους,,
34,6.0,I had my friend's kids in my arms and after five minutes I had to put them down because they were too heavy.,Είχα τα παιδιά του φίλου μου στην αγκαλιά μου και μετά από πέντε λεπτά έπρεπε να τα αφήσω κάτω γιατί ήταν πολύ βαριά,,
36,10.0,I like serving my country.,Μου αρέσει να υπηρετώ τη χώρα μου,,
37,2.0,"I didn't want to change my plans, but it seemed impolite to refuse.","Δεν ήθελα να αλλάξω τα σχέδιά μου, αλλά μου φάνηκε αγενές να αρνηθώ",,
38,15.0,I am not asexual.,,Δεν είμαι άφυλος,Δεν είμαι άφυλη
41,8.0,They know how strict I am.,,Ξέρουν πόσο αυστηρός είμαι,Ξέρουν πόσο αυστηρή είμαι
43,6.0,I was scared to walk alone at night because if anything happened I wouldn't be able to counterattack.,,Φοβόμουν να περπατήσω μόνος μου τη νύχτα γιατί αν συνέβαινε κάτι δεν θα μπορούσα να αντεπιτεθώ,Φοβόμουν να περπατήσω μόνη μου τη νύχτα γιατί αν συνέβαινε κάτι δεν θα μπορούσα να αντεπιτεθώ
45,7.0,I have discovered a new cream that moisturises the skin perfectly.,Ανακάλυψα μια νέα κρέμα που ενυδατώνει τέλεια το δέρμα,,
46,6.0,I knew I was not physically strong enough.,,Ήξερα ότι δεν ήμουν αρκετά δυνατός σωματικά,Ήξερα ότι δεν ήμουν αρκετά δυνατή σωματικά
47,3.0,I took in the puppy because it had no home.,Πήρα το κουτάβι γιατί δεν είχε σπίτι,,
51,6.0,I needed help with heavy bags.,Χρειαζόμουν βοήθεια με βαριές τσάντες,,
53,9.0,I didn't fear refusal.,Δεν φοβήθηκα την άρνηση,,
54,14.0,"I prefer to spend time playing games, I'm in love with it.","Προτιμώ να περνάω χρόνο παίζοντας παιχνίδια, είμαι ερωτευμένος με αυτό",,
55,4.0,I like to use various hair products.,Μου αρέσει να χρησιμοποιώ διάφορα προϊόντα μαλλιών,,
56,8.0,I handled the snake and got rid of it.,Χειρίστηκα το φίδι και το ξεφορτώθηκα,,
57,16.0,I met a lot of cool people in the gym.,Συνάντησα πολλούς κουλ ανθρώπους στο γυμναστήριο,,
61,9.0,I knew that I had what it took to conquer it.,"Ήξερα ότι είχα ό,τι χρειαζόταν για να το κατακτήσω",,
63,12.0,I could never let the other person pay during a date.,Δεν θα μπορούσα ποτέ να αφήσω τον άλλον να πληρώσει κατά τη διάρκεια ενός ραντεβού,,
64,8.0,I've always wanted to learn how to fly a plane.,Πάντα ήθελα να μάθω πώς να πετάω ένα αεροπλάνο,,
65,9.0,"I didn't care that I wasn't an expert in the field, I wanted to do the research anyway.","Δεν με ένοιαζε που δεν ήμουν ειδικός στον τομέα, ήθελα να κάνω την έρευνα ούτως ή άλλως",,
66,13.0,I took the initiative to mentor new employees.,Πήρα την πρωτοβουλία να καθοδηγήσω νέους υπαλλήλους,,
67,10.0,I am far better at it than them.,,Είμαι πολύ καλύτερος σε αυτό από αυτούς,Είμαι πολύ καλύτερη σε αυτό από αυτούς
70,10.0,I kept notes from all the presentations and organised them according to the topics.,Κράτησα σημειώσεις από όλες τις παρουσιάσεις και τις οργάνωσα σύμφωνα με τα θέματα,,
72,12.0,I regularly reviewed and adjusted our savings and investment strategies to ensure that my family is safe.,Εξέταζα τακτικά και προσάρμοζα τις αποταμιεύσεις και τις επενδυτικές μας στρατηγικές για να διασφαλίσω ότι η οικογένειά μου είναι ασφαλής,,
73,4.0,I had an argument with my neighbour because she threw rubbish on the ground.,Μάλωσα με τη γειτόνισσα μου γιατί πέταξε σκουπίδια στο έδαφος,,
75,6.0,"I tried to climb the mountain, but it was too steep.","Προσπάθησα να ανέβω στο βουνό, αλλά ήταν πολύ απότομο",,
76,3.0,"I took care of the whole family myself, even both grandparents.",,"Φρόντισα μόνος μου όλη την οικογένεια, ακόμα και τους δύο παππούδες","Φρόντισα μόνη μου όλη την οικογένεια, ακόμα και τους δύο παππούδες"
78,14.0,I like to go out for a beer with my friends.,Μου αρέσει να βγαίνω για μια μπύρα με τους φίλους μου,,
79,8.0,The chances were low but I still made the right decision.,"Οι πιθανότητες ήταν μικρές, αλλά παρόλα αυτά πήρα τη σωστή απόφαση",,
80,5.0,"I envy people who have big families, because I too would like to have big family get-togethers.","Ζηλεύω τους ανθρώπους που έχουν μεγάλες οικογένειες, γιατί κι εγώ θα ήθελα να έχω μεγάλες οικογενειακές συγκεντρώσεις",,
81,10.0,I maintained a professional demeanor and provided constructive input when appropriate.,Διατήρησα επαγγελματική συμπεριφορά και παρείχα εποικοδομητική συμβολή όταν ήταν απαραίτητο,,
82,2.0,"In the future, I would like to adopt a child.","Στο μέλλον, θα ήθελα να υιοθετήσω ένα παιδί",,
83,13.0,I could see that they were struggling so I took over and chaired the meeting instead.,"Έβλεπα ότι δυσκολεύονταν, οπότε ανέλαβα και προήδρευσα της συνεδρίασης",,
84,5.0,They were trying to be my friends because I knew where the best parties were.,Προσπαθούσαν να γίνουν φίλοι μου γιατί ήξερα πού ήταν τα καλύτερα πάρτι,,
85,15.0,I told my partner that my sexual needs were not satisfied.,Είπα στον σύντροφό μου ότι οι σεξουαλικές μου ανάγκες δεν ικανοποιήθηκαν,,
89,9.0,"As I walked into the job interview, I exuded self-confidence.","Καθώς μπήκα στη συνέντευξη για δουλειά, απέπνεα αυτοπεποίθηση",,
90,3.0,The recipe was really hard but I still tried to cook it.,"Η συνταγή ήταν πολύ δύσκολη, αλλά προσπάθησα να τη μαγειρέψω",,
92,12.0,I knew my role was to provide for the family so I did everything I could to get a lucrative job.,"Ήξερα ότι ο ρόλος μου ήταν να φροντίζω την οικογένεια, γι' αυτό έκανα ό,τι μπορούσα για να βρω μια προσοδοφόρα δουλειά",,
93,11.0,I should think about this before deciding.,Θα έπρεπε να το σκεφτώ πριν αποφασίσω,,
94,10.0,I like to work in a competitive environment.,Μου αρέσει να εργάζομαι σε ένα ανταγωνιστικό περιβάλλον,,
96,4.0,I bought mango scented cleaning products so I enjoy cleaning even more.,Αγόρασα προϊόντα καθαρισμού με άρωμα μάνγκο και έτσι απολαμβάνω να καθαρίζω ακόμη περισσότερο,,
98,14.0,I always sought instant gratification.,Πάντα αναζητούσα την άμεση ικανοποίηση,,
99,8.0,"Yesterday I witnessed a nasty argument, so I decided to intervene.","Χθες είδα μια άσχημη λογομαχία, οπότε αποφάσισα να παρέμβω",,
101,8.0,I loved you but I don't know how to show my emotions.,"Σε αγάπησα, αλλά δεν ξέρω πώς να δείξω τα συναισθήματά μου",,
103,7.0,I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,"Είχα προγραμματίσει ένα ρούχο, αλλά μετά θυμήθηκα ότι δεν έπρεπε να φοράω αποκαλυπτικά ρούχα",,
106,16.0,"I have come to understand that the most important thing is to be consistent, and then the results will come.",Έχω καταλάβει ότι το πιο σημαντικό πράγμα είναι να είσαι συνεπής και μετά θα έρθουν τα αποτελέσματα,,
107,1.0,"It made me feel angry, but I didn't want to say anything.","Με έκανε να νιώσω θυμό, αλλά δεν ήθελα να πω τίποτα",,
109,15.0,"I would like to try a threesome, it must be so much fun.","Θα ήθελα να δοκιμάσω ένα τρίο, πρέπει να είναι τόσο διασκεδαστικό",,
111,5.0,I asked them to come see the gig with me.,Τους ζήτησα να έρθουν να δουν τη συναυλία μαζί μου,,
112,11.0,"My sense of rationality is very strong, I have never understood how people can believe in astrological signs.","Η αίσθηση του ορθολογισμού μου είναι πολύ δυνατή, δεν κατάλαβα ποτέ πώς μπορούν οι άνθρωποι να πιστεύουν στα αστρολογικά ζώδια",,
113,3.0,"If anyone expresses interest, I am ready to help them with anything.",,"Εάν κάποιος εκδηλώσει ενδιαφέρον, είμαι έτοιμος να τον βοηθήσω με οτιδήποτε","Εάν κάποιος εκδηλώσει ενδιαφέρον, είμαι έτοιμη να τον βοηθήσω με οτιδήποτε"
114,11.0,I made a budget by assessing my income and expenses.,Έκανα έναν προϋπολογισμό αξιολογώντας τα έσοδα και τα έξοδά μου,,
115,12.0,I was always the one paying bills and I didn't mind it.,Πάντα εγώ πλήρωνα τους λογαριασμούς και δεν με πείραζε,,
117,8.0,I am good at making bold decisions.,,Είμαι καλός στο να παίρνω τολμηρές αποφάσεις,Είμαι καλή στο να παίρνω τολμηρές αποφάσεις
119,5.0,"We all have different personalities, but I still love the time we get to spend together.","Όλοι έχουμε διαφορετικές προσωπικότητες, αλλά εξακολουθώ να αγαπώ τον χρόνο που περνάμε μαζί",,
120,8.0,"Since I can remember, I was never scared of anything.","Από τότε που θυμάμαι τον εαυτό μου, δεν φοβήθηκα ποτέ τίποτα",,
121,4.0,I spent the whole day cleaning the house.,Πέρασα όλη τη μέρα καθαρίζοντας το σπίτι,,
122,12.0,I could never live with someone who makes more money than me.,Δεν θα μπορούσα ποτέ να ζήσω με κάποιον που βγάζει περισσότερα χρήματα από εμένα,,
123,1.0,"Although I didn't need it, I bought it anyway.","Αν και δεν το χρειαζόμουν, το αγόρασα ούτως ή άλλως",,
124,15.0,I don't remember who I had sex with last night.,Δεν θυμάμαι με ποιον έκανα σεξ χθες το βράδυ,,
127,11.0,"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.","Στη δουλειά, αφήνω στην άκρη τις προσωπικές μου πεποιθήσεις και προτιμήσεις γιατί πιστεύω στις ίσες ευκαιρίες",,
129,12.0,I am honest and fair with my children because that is the only way I can teach them to be that way with me.,,Είμαι ειλικρινής και δίκαιος με τα παιδιά μου γιατί μόνο έτσι μπορώ να τα μάθω να είναι έτσι μαζί μου,Είμαι ειλικρινής και δίκαιη με τα παιδιά μου γιατί μόνο έτσι μπορώ να τα μάθω να είναι έτσι μαζί μου
130,3.0,I like sacrificing my own time for the sake of others.,Μου αρέσει να θυσιάσω τον δικό μου χρόνο για χάρη των άλλων,,
131,15.0,I feel frustrated when I don't have intimacy.,,Αισθάνομαι απογοητευμένος όταν δεν έχω οικειότητα,Αισθάνομαι απογοητευμένη όταν δεν έχω οικειότητα
132,6.0,I could not do too much physical labour because I was not strong enough.,,Δεν μπορούσα να κάνω πολύ σωματική εργασία γιατί δεν ήμουν αρκετά δυνατός,Δεν μπορούσα να κάνω πολύ σωματική εργασία γιατί δεν ήμουν αρκετά δυνατή
133,10.0,I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,Δεν θα επέτρεπα σε άλλους να με περιμένουν γιατί θεωρώ ότι αυτή η συμπεριφορά είναι εξαιρετικά αντιεπαγγελματική,,
134,15.0,I couldn't go a long time without sex.,Δεν μπορούσα να μείνω πολύ καιρό χωρίς σεξ,,
135,15.0,I had many sexual partners.,Είχα πολλούς σεξουαλικούς συντρόφους,,
139,15.0,"I tried to be celibate for a month, but I couldn't do it.","Προσπάθησα να είμαι άγαμος για ένα μήνα, αλλά δεν τα κατάφερα",,
140,4.0,I diligently followed safety protocols and procedures in the workplace.,Ακολούθησα επιμελώς τα πρωτόκολλα και τις διαδικασίες ασφαλείας στο χώρο εργασίας,,
142,10.0,I've always felt better in leadership positions.,Πάντα ένιωθα καλύτερα σε ηγετικές θέσεις,,
143,16.0,I had no trouble shooting the big caliber weapons.,Δεν είχα κανένα πρόβλημα να πυροβολήσω τα όπλα μεγάλου διαμετρήματος,,
144,5.0,"When something bad happens to me, I need to be surrounded by friends.",,"Όταν μου συμβαίνει κάτι κακό, πρέπει να είμαι περιτριγυρισμένος από φίλους","Όταν μου συμβαίνει κάτι κακό, πρέπει να είμαι περιτριγυρισμένη από φίλους"
146,15.0,I am very open-minded when it comes to sex.,,Είμαι πολύ ανοιχτόμυαλος όταν πρόκειται για σεξ,Είμαι πολύ ανοιχτόμυαλη όταν πρόκειται για σεξ
148,10.0,I was always ready to work till late at night.,,Ήμουν πάντα έτοιμος να δουλέψω μέχρι αργά το βράδυ,Ήμουν πάντα έτοιμη να δουλέψω μέχρι αργά το βράδυ
151,4.0,"I showered daily, sometimes twice.","Έκανα ντους καθημερινά, μερικές φορές δύο φορές",,
153,10.0,I would never let my emotions control me at work.,Δεν θα άφηνα ποτέ τα συναισθήματά μου να με ελέγχουν στη δουλειά,,
155,6.0,I had to ask someone to walk me home because it was getting too late.,Έπρεπε να ζητήσω από κάποιον να με πάει σπίτι γιατί ήταν πολύ αργά,,
156,2.0,I opted to go along with their ideas instead of trying to contradict them.,Επέλεξα να ακολουθήσω τις ιδέες τους αντί να προσπαθώ να τις αντικρούσω,,
158,11.0,I made the calculation based on the available data.,Έκανα τον υπολογισμό με βάση τα διαθέσιμα δεδομένα,,
159,13.0,I actively sought to bridge gaps and connect people with common interests or goals.,Επιδίωξα ενεργά να γεφυρώσω τα κενά και να συνδέσω ανθρώπους με κοινά ενδιαφέροντα ή στόχους,,
161,8.0,I wasn't afraid of you and your friends.,Δεν φοβόμουν εσένα και τους φίλους σου,,
163,7.0,I like when my hair shines.,Μου αρέσει όταν τα μαλλιά μου γυαλίζουν,,
164,6.0,They don't let me do it because I am too weak.,,Δεν με αφήνουν να το κάνω γιατί είμαι πολύ αδύναμος,Δεν με αφήνουν να το κάνω γιατί είμαι πολύ αδύναμη
167,10.0,I'm good at negotiating with our clients.,,Είμαι καλός στις διαπραγματεύσεις με τους πελάτες μας,Είμαι καλή στις διαπραγματεύσεις με τους πελάτες μας
168,16.0,"I had a lot of friends in my old gym, but I had to switch gyms.","Είχα πολλούς φίλους στο παλιό μου γυμναστήριο, αλλά έπρεπε να αλλάξω γυμναστήριο",,
169,15.0,I always imagined how it must have felt to be in a bed with you.,Πάντα φανταζόμουν πώς πρέπει να ένιωθα που ήμουν σε ένα κρεβάτι μαζί σου,,
170,14.0,I had to eat instant ramen because I did not know how to cook anything else.,,Έπρεπε να φάω στιγμιαίο ράμεν γιατί δεν ήξερα πώς να μαγειρεύω τίποτα άλλο,Έπρεπε να φάω στιγμιαίο ράμεν γιατί δεν ήξερα πώς να μαγειρέψω τίποτα άλλο
172,10.0,I am a leader.,Είμαι ηγέτης,,
174,9.0,I didn't worry about my confidence.,Δεν ανησυχούσα για την αυτοπεποίθησή μου,,
176,5.0,"I attended an event, engaging in conversations with peers.","Παρευρέθηκα σε μια εκδήλωση, κάνοντας συζητήσεις με συνομηλίκους μου",,
177,13.0,"As a team leader, I motivated my team to collaborate actively.","Ως αρχηγός ομάδας, παρακίνησα την ομάδα μου να συνεργαστεί ενεργά",,
178,15.0,My spouse has no idea that I have different sexual partners.,,Η σύζυγός μου δεν έχει ιδέα ότι έχω διαφορετικούς σεξουαλικούς συντρόφους,Ο σύζυγός μου δεν έχει ιδέα ότι έχω διαφορετικούς σεξουαλικούς συντρόφους
179,1.0,I got my paycheck and immediately spent almost all of it on clothes.,Πήρα το μισθό μου και ξόδεψα αμέσως σχεδόν όλο αυτό σε ρούχα,,
180,1.0,"They had to let me pass the exam, because I almost started to cry.","Έπρεπε να με αφήσουν να περάσω τις εξετάσεις, γιατί κόντεψα να κλαίω",,
181,10.0,I was raised to never give up.,Με μεγάλωσαν να μην τα παρατάω ποτέ,,
182,1.0,I feel like they are watching every move I make.,Νιώθω ότι παρακολουθούν κάθε κίνηση που κάνω,,
184,9.0,I was inspiring and motivating those around me for almost 20 years.,Εμπνέουσα και παρακινούσα τους γύρω μου για σχεδόν 20 χρόνια,,
185,16.0,I cut down the tree in front of the house.,έκοψα το δέντρο μπροστά από το σπίτι,,
186,1.0,I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,Είπα ψέματα στη μαμά μου μια φορά και αμέσως ξέσπασα σε κλάματα γιατί δεν ήθελα να της πω ψέματα,,
187,4.0,I cleaned the floor every day.,Καθάριζα το πάτωμα κάθε μέρα,,
188,9.0,I never had any trouble expressing my ideas out loud.,Ποτέ δεν δυσκολεύτηκα να εκφράσω τις ιδέες μου δυνατά,,
189,2.0,I just had to keep smiling no matter how hard the situation was.,Απλώς έπρεπε να συνεχίσω να χαμογελάω όσο δύσκολη κι αν ήταν η κατάσταση,,
192,8.0,I like adventure and action in my daily life.,Μου αρέσει η περιπέτεια και η δράση στην καθημερινή μου ζωή,,
193,4.0,I could never fall asleep without taking a shower first.,Δεν θα μπορούσα ποτέ να κοιμηθώ χωρίς να κάνω πρώτα ντους,,
196,16.0,I protected everyone from the thief.,Προστάτεψα τους πάντες από τον κλέφτη,,
197,3.0,I make sure to balance my work obligations with quality time spent with my loved ones.,Φροντίζω να εξισορροπώ τις επαγγελματικές μου υποχρεώσεις με τον ποιοτικό χρόνο που περνάω με τους αγαπημένους μου,,
198,7.0,I am proud of my figure because it is the result of hard work.,,Είμαι περήφανος για τη σιλουέτα μου γιατί είναι αποτέλεσμα σκληρής δουλειάς,Είμαι περήφανη για τη σιλουέτα μου γιατί είναι αποτέλεσμα σκληρής δουλειάς
199,5.0,I made so many friends on the first day already.,Έκανα τόσους πολλούς φίλους την πρώτη μέρα ήδη,,
200,11.0,I couldn't listen to those ridiculous conspiracy theories any longer.,Δεν μπορούσα να ακούω πια αυτές τις γελοίες θεωρίες συνωμοσίας,,
201,3.0,"There is an old lady at the end of our street who does not have anyone, so I often visited her and brought her newspapers.","Υπάρχει μια ηλικιωμένη κυρία στο τέλος του δρόμου μας που δεν έχει κανέναν, οπότε την επισκεπτόμουν συχνά και της έφερνα εφημερίδες",,
202,5.0,I organized a book club meeting at a local café.,Οργάνωσα μια συνάντηση λέσχης βιβλίου σε ένα τοπικό καφέ,,
203,4.0,"I showered every evening, washed my face and put on some cream, then I brushed my hair and brushed my teeth, I would never go to bed without showering first.","Έκανα ντους κάθε βράδυ, έπλενα το πρόσωπό μου και έβαλα λίγη κρέμα, μετά έπλυνα τα μαλλιά μου και έπλυνα τα δόντια μου, δεν θα πήγαινα ποτέ για ύπνο χωρίς να κάνω πρώτα ντους",,
204,15.0,I couldn't wait until marriage to have sex.,,Δεν μπορούσα να περιμένω μέχρι το γάμο για να κάνω σεξ,Δεν μπορούσα να περιμένω μέχρι τον γάμο για να κάνω σεξ
206,6.0,"I liked to watch my friends play volleyball, but I always thought I'm not good enough to play it.",,"Μου άρεσε να βλέπω τους φίλους μου να παίζουν βόλεϊ, αλλά πάντα πίστευα ότι δεν είμαι αρκετά καλός για να το παίξω","Μου άρεσε να βλέπω τους φίλους μου να παίζουν βόλεϊ, αλλά πάντα πίστευα ότι δεν είμαι αρκετά καλή για να το παίξω"
207,15.0,I was thinking of sex all the time at work.,Σκεφτόμουν το σεξ όλη την ώρα στη δουλειά,,
209,15.0,I didn't mind having sex with many people in a short time.,Δεν με πείραζε να κάνω σεξ με πολλούς ανθρώπους σε σύντομο χρονικό διάστημα,,
210,11.0,I objectively evaluated my strengths and weaknesses.,Αξιολόγησα αντικειμενικά τα δυνατά και τα αδύνατα σημεία μου,,
211,7.0,I would like to work as a fashion consultant.,Θα ήθελα να εργαστώ ως σύμβουλος μόδας,,
214,5.0,I join group activities and discussions very often and I like it.,Συμμετέχομαι σε ομαδικές δραστηριότητες και συζητήσεις πολύ συχνά και μου αρέσει,,
215,5.0,"I attended a local art exhibition, engaging in conversations with artists and fellow art enthusiasts.","Παρευρέθηκα σε μια τοπική έκθεση τέχνης, συζητώντας με καλλιτέχνες και άλλους λάτρεις της τέχνης",,
216,6.0,I was too weak to lift the table.,,Ήμουν πολύ αδύναμος για να σηκώσω το τραπέζι,Ήμουν πολύ αδύναμη για να σηκώσω το τραπέζι
217,1.0,I felt anxious for no apparent reason.,Ένιωσα άγχος χωρίς προφανή λόγο,,
218,7.0,"If I had to choose between a sweatshirt and a shirt, I would choose the shirt.","Αν έπρεπε να διαλέξω ανάμεσα σε ένα φούτερ και ένα πουκάμισο, θα διάλεγα το πουκάμισο",,
219,5.0,I like planning parties.,Μου αρέσει να προγραμματίζω πάρτι,,
220,2.0,"I'm sad that you hurt me, because I like you.","Λυπάμαι που με πλήγωσες, γιατί μου αρέσεις",,
221,14.0,"They told me I was too old for the circus, but I went anyway.",,"Μου είπαν ότι ήμουν πολύ μεγάλος για το τσίρκο, αλλά πήγα ούτως ή άλλως","Μου είπαν ότι ήμουν πολύ μεγάλη για το τσίρκο, αλλά πήγα ούτως ή άλλως"
223,12.0,I wanted to be financially stable before having kids.,,Ήθελα να είμαι οικονομικά σταθερός πριν κάνω παιδιά,Ήθελα να είμαι οικονομικά σταθερή πριν κάνω παιδιά
224,3.0,For Christmas I organised a collection of clothes for homeless people.,Για τα Χριστούγεννα οργάνωσα μια συλλογή ρούχων για άστεγους,,
225,11.0,I have always taken responsibility for all my decisions.,Πάντα αναλάμβανα την ευθύνη για όλες τις αποφάσεις μου,,
226,14.0,I could not invite the girl over because my place was too messy.,Δεν μπορούσα να προσκαλέσω το κορίτσι γιατί ο χώρος μου ήταν πολύ ακατάστατος,,
227,9.0,I never doubted myself.,Ποτέ δεν αμφέβαλα για τον εαυτό μου,,
229,10.0,I couldn't move forward without knowledge.,Δεν μπορούσα να προχωρήσω χωρίς γνώση,,
230,1.0,"When they asked me how I got over the breakup, I was amused because I still cry to this day.","Όταν με ρώτησαν πώς ξεπέρασα τον χωρισμό, έπαθα πλάκα γιατί ακόμα κλαίω μέχρι σήμερα",,
231,15.0,I was frustrated when my partner was not in the mood for sexual intimacy.,Απογοητεύτηκα όταν ο σύντροφός μου δεν είχε διάθεση για σεξουαλική οικειότητα,,
232,12.0,I decided to move for a job and my family went with me.,Αποφάσισα να μετακομίσω για δουλειά και η οικογένειά μου πήγε μαζί μου,,
233,6.0,I would never have dared to hold such an important position.,Δεν θα τολμούσα ποτέ να κατέχω μια τόσο σημαντική θέση,,
235,1.0,I have always been afraid of spiders although I know they cannot hurt me.,"Πάντα φοβόμουν τις αράχνες, αν και ξέρω ότι δεν μπορούν να με βλάψουν",,
236,5.0,"I participated in a group meditation, connecting with others who shared an interest in personal well-being and self-reflection.","Συμμετείχα σε έναν ομαδικό διαλογισμό, συνδέοντας άλλους που μοιράζονταν το ενδιαφέρον για την προσωπική ευημερία και τον αυτοστοχασμό",,
237,10.0,I signed up for a professional course in communication.,Εγγραφήκα για ένα επαγγελματικό μάθημα επικοινωνίας,,
239,12.0,I am aware that the whole household depends on me.,Γνωρίζω ότι όλο το σπίτι εξαρτάται από εμένα,,
240,8.0,I would like to try diving with sharks.,Θα ήθελα να δοκιμάσω να βουτήξω με καρχαρίες,,
241,2.0,I did everything in my power to be invisible.,,"Έκανα ό,τι περνούσε από το χέρι μου για να είμαι αόρατος","Έκανα ό,τι περνούσε από το χέρι μου για να είμαι αόρατη"
242,7.0,"I couldn't guess the brand of the make-up, but I felt gorgeous wearing it.","Δεν μπορούσα να μαντέψω τη μάρκα του μακιγιάζ, αλλά ένιωσα υπέροχα φορώντας το",,
243,15.0,I could not stop looking at their hot body.,Δεν μπορούσα να σταματήσω να κοιτάζω το καυτό σώμα τους,,
244,15.0,I am sad when I don't have sex.,Είμαι λυπημένος όταν δεν κάνω σεξ,,
246,9.0,I approached challenges with a sense of assurance and determination.,Προσέγγισα τις προκλήσεις με μια αίσθηση σιγουριάς και αποφασιστικότητας,,
248,12.0,I focused on improving our family's financial well-being.,Επικεντρώθηκα στη βελτίωση της οικονομικής ευημερίας της οικογένειάς μας,,
252,7.0,I've been told that I had beautiful eyes when I was younger.,,Μου είπαν ότι είχα όμορφα μάτια όταν ήμουν νεότερος,Μου είπαν ότι είχα όμορφα μάτια όταν ήμουν νεότερη
253,6.0,"After the break-up, I had to see a psychologist.","Μετά τον χωρισμό, έπρεπε να δω έναν ψυχολόγο",,
255,3.0,I hosted the event at home and served the guests myself.,,Οργάνωσα την εκδήλωση στο σπίτι και εξυπηρέτησα τους καλεσμένους μόνος μου,Οργάνωσα την εκδήλωση στο σπίτι και εξυπηρέτησα τους καλεσμένους μόνη μου
256,6.0,"I found it challenging to lift heavy weights at the gym, realizing my physical weakness.","Μου ήταν δύσκολο να σηκώνω μεγάλα βάρη στο γυμναστήριο, συνειδητοποιώντας τη σωματική μου αδυναμία",,
257,13.0,I like when my employees listen to what I say.,Μου αρέσει όταν οι υπάλληλοί μου ακούνε αυτά που λέω,,
258,12.0,I prioritised my family's financial stability.,Έδωσα προτεραιότητα στην οικονομική σταθερότητα της οικογένειάς μου,,
259,12.0,I started saving up money years ago so we can buy a house soon.,"Άρχισα να αποταμιεύω χρήματα πριν από χρόνια, για να μπορέσουμε να αγοράσουμε ένα σπίτι σύντομα",,
260,1.0,"I am aware that credit cards are bad, but I just love shopping.","Γνωρίζω ότι οι πιστωτικές κάρτες είναι κακές, αλλά μου αρέσουν τα ψώνια",,
