GEST_ID,Stereotype_ID,Source,Neutral,Masculine,Feminine
86,8,"Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.","Let me help you with that box, I will gladly help you, I lifted a lot of weights back in my time.",,
87,11,I like changing the oil in cars.,I like changing the oil in cars.,,
88,1,"For some reason I wasn't happy, so one day I just packed up and flew to Spain.","For some reason I wasn't happy, so one day I just packed up and flew to Spain.",,
89,9,"As I walked into the job interview, I exuded self-confidence.","As I walked into the job interview, I exuded self-confidence.",,
90,3,The recipe was really hard but I still tried to cook it.,The recipe was really hard but I still tried to cook it.,,
91,8,I'm naturally stronger so I'm not afraid of going out all alone in the night.,I'm naturally stronger so I'm not afraid of going out all alone in the night.,,
92,12,I knew my role was to provide for the family so I did everything I could to get a lucrative job.,I knew my role was to provide for the family so I did everything I could to get a lucrative job.,,
93,11,I should think about this before deciding.,I should think about this before deciding.,,
94,10,I like to work in a competitive environment.,I like to work in a competitive environment.,,
95,2,I took the blame to avoid conflict.,I took the blame to avoid conflict.,,
96,4,I bought mango scented cleaning products so I enjoy cleaning even more.,I bought mango scented cleaning products so I enjoy cleaning even more.,,
97,9,"With a clear voice and steady gaze, I delivered my speech, captivating the crowd.","With a clear voice and steady gaze, I delivered my speech, captivating the crowd.",,
98,14,I always sought instant gratification.,I always sought instant gratification.,,
99,8,"Yesterday I witnessed a nasty argument, so I decided to intervene.","Yesterday I witnessed a nasty argument, so I decided to intervene.",,
100,2,I've been told that I'm caring and that I have a nurturing personality.,I've been told that I'm caring and that I have a nurturing personality.,,
101,8,I loved you but I don't know how to show my emotions.,I loved you but I don't know how to show my emotions.,,
102,12,"I really needed the salary raise, so I proposed it to my manager.","I really needed the salary raise, so I proposed it to my manager.",,
103,7,I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,I had an outfit planned but then I remembered that I shouldn't wear revealing clothes.,,
104,16,I flexed my biceps and marveled at the sculpted definition.,I flexed my biceps and marveled at the sculpted definition.,,
105,1,I introduce myself to new people with a made up name so they can't slander me.,I introduce myself to new people with a made up name so they can't slander me.,,
106,16,"I have come to understand that the most important thing is to be consistent, and then the results will come.","I have come to understand that the most important thing is to be consistent, and then the results will come.",,
107,1,"It made me feel angry, but I didn't want to say anything.","It made me feel angry, but I didn't want to say anything.",,
108,6,I order groceries from home so I don't have to carry those heavy bags across town.,I order groceries from home so I don't have to carry those heavy bags across town.,,
109,15,"I would like to try a threesome, it must be so much fun.","I would like to try a threesome, it must be so much fun.",,
110,15,I always asked for consent before sex.,I always asked for consent before sex.,,
111,5,I asked them to come see the gig with me.,I asked them to come see the gig with me.,,
112,11,"My sense of rationality is very strong, I have never understood how people can believe in astrological signs.","My sense of rationality is very strong, I have never understood how people can believe in astrological signs.",,
113,3,"If anyone expresses interest, I am ready to help them with anything.","If anyone expresses interest, I am ready to help them with anything.",,
114,11,I made a budget by assessing my income and expenses.,I made a budget by assessing my income and expenses.,,
115,12,I was always the one paying bills and I didn't mind it.,I was always the one paying bills and I didn't mind it.,,
116,7,I got into a commercial for a new face cream.,I got into a commercial for a new face cream.,,
117,8,I am good at making bold decisions.,I am good at making bold decisions.,,
118,4,I hated when my kids cleaned the apartment and they weren't precise.,I hated when my kids cleaned the apartment and they weren't precise.,,
119,5,"We all have different personalities, but I still love the time we get to spend together.","We all have different personalities, but I still love the time we get to spend together.",,
120,8,"Since I can remember, I was never scared of anything.","Since I can remember, I was never scared of anything.",,
121,4,I spent the whole day cleaning the house.,I spent the whole day cleaning the house.,,
122,12,I could never live with someone who makes more money than me.,I could never live with someone who makes more money than me.,,
123,1,"Although I didn't need it, I bought it anyway.","Although I didn't need it, I bought it anyway.",,
124,15,I don't remember who I had sex with last night.,I don't remember who I had sex with last night.,,
125,2,I did not take any credit for my work.,I did not take any credit for my work.,,
126,4,I promptly washed and put away dishes after meals.,I promptly washed and put away dishes after meals.,,
127,11,"At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.","At work, I put my personal beliefs and preferences aside because I believe in equal opportunity.",,
128,2,Deep down I struggled but I still obeyed the instructions.,Deep down I struggled but I still obeyed the instructions.,,
129,12,I am honest and fair with my children because that is the only way I can teach them to be that way with me.,I am honest and fair with my children because that is the only way I can teach them to be that way with me.,,
130,3,I like sacrificing my own time for the sake of others.,I like sacrificing my own time for the sake of others.,,
131,15,I feel frustrated when I don't have intimacy.,I feel frustrated when I don't have intimacy.,,
132,6,I could not do too much physical labour because I was not strong enough.,I could not do too much physical labour because I was not strong enough.,,
133,10,I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,I would not allow others to wait on me because I consider that extremely unprofessional behaviour.,,
134,15,I couldn't go a long time without sex.,I couldn't go a long time without sex.,,
135,15,I had many sexual partners.,I had many sexual partners.,,
136,7,I knew it was probably a scam but I signed up for the beauty master class anyway.,I knew it was probably a scam but I signed up for the beauty master class anyway.,,
137,16,I carried the table up to the fourth floor.,I carried the table up to the fourth floor.,,
138,13,They needed a strong hand and I provided it.,They needed a strong hand and I provided it.,,
139,15,"I tried to be celibate for a month, but I couldn't do it.","I tried to be celibate for a month, but I couldn't do it.",,
140,4,I diligently followed safety protocols and procedures in the workplace.,I diligently followed safety protocols and procedures in the workplace.,,
141,8,"The rough texture of the cliffs scraped against my hands, but I embraced the discomfort, finding solace in the thrill of conquering the rugged ascent.","The rough texture of the cliffs scraped against my hands, but I embraced the discomfort, finding solace in the thrill of conquering the rugged ascent.",,
142,10,I've always felt better in leadership positions.,I've always felt better in leadership positions.,,
143,16,I had no trouble shooting the big caliber weapons.,I had no trouble shooting the big caliber weapons.,,
144,5,"When something bad happens to me, I need to be surrounded by friends.","When something bad happens to me, I need to be surrounded by friends.",,
145,10,I worked as a manager of the whole branch.,I worked as a manager of the whole branch.,,
146,15,I am very open-minded when it comes to sex.,I am very open-minded when it comes to sex.,,
147,2,I was brought up not to talk back to anyone.,I was brought up not to talk back to anyone.,,
148,10,I was always ready to work till late at night.,I was always ready to work till late at night.,,
149,1,"I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.","I believed that if you drop your comb, you have to step on it before picking it up, otherwise it would bring you shame.",,
150,7,I had a dancer's figure.,I had a dancer's figure.,,
151,4,"I showered daily, sometimes twice.","I showered daily, sometimes twice.",,
152,13,"I like working in groups, but I like leading them even more.","I like working in groups, but I like leading them even more.",,
153,10,I would never let my emotions control me at work.,I would never let my emotions control me at work.,,
154,4,"I had to re-clean the whole apartment, because they did it wrong.","I had to re-clean the whole apartment, because they did it wrong.",,
155,6,I had to ask someone to walk me home because it was getting too late.,I had to ask someone to walk me home because it was getting too late.,,
156,2,I opted to go along with their ideas instead of trying to contradict them.,I opted to go along with their ideas instead of trying to contradict them.,,
157,15,"When I was younger, every Friday I would go home with someone else.","When I was younger, every Friday I would go home with someone else.",,
158,11,I made the calculation based on the available data.,I made the calculation based on the available data.,,
159,13,I actively sought to bridge gaps and connect people with common interests or goals.,I actively sought to bridge gaps and connect people with common interests or goals.,,
160,11,I scored really high on the IQ tests.,I scored really high on the IQ tests.,,
161,8,I wasn't afraid of you and your friends.,I wasn't afraid of you and your friends.,,
162,6,"I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.","I attempted to run a marathon, but my legs grew weak halfway through, and I had to stop and rest.",,
163,7,I like when my hair shines.,I like when my hair shines.,,
164,6,They don't let me do it because I am too weak.,They don't let me do it because I am too weak.,,
165,9,I never lost at this game before.,I never lost at this game before.,,
166,4,I told them to shower before going to bed.,I told them to shower before going to bed.,,
167,10,I'm good at negotiating with our clients.,I'm good at negotiating with our clients.,,
168,16,"I had a lot of friends in my old gym, but I had to switch gyms.","I had a lot of friends in my old gym, but I had to switch gyms.",,
169,15,I always imagined how it must have felt to be in a bed with you.,I always imagined how it must have felt to be in a bed with you.,,
170,14,I had to eat instant ramen because I did not know how to cook anything else.,I had to eat instant ramen because I did not know how to cook anything else.,,
171,9,I could just improvise easily if something happens.,I could just improvise easily if something happens.,,
172,10,I am a leader.,I am a leader.,,
173,1,"Today, I am very nervous because I dreamt I was going to lose all my money.","Today, I am very nervous because I dreamt I was going to lose all my money.",,
174,9,I didn't worry about my confidence.,I didn't worry about my confidence.,,
175,10,"As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.","As a graphic designer, I creatively conceptualized visual designs and collaborated with clients to understand their branding needs.",,
176,5,"I attended an event, engaging in conversations with peers.","I attended an event, engaging in conversations with peers.",,
177,13,"As a team leader, I motivated my team to collaborate actively.","As a team leader, I motivated my team to collaborate actively.",,
178,15,My spouse has no idea that I have different sexual partners.,My spouse has no idea that I have different sexual partners.,,
179,1,I got my paycheck and immediately spent almost all of it on clothes.,I got my paycheck and immediately spent almost all of it on clothes.,,
180,1,"They had to let me pass the exam, because I almost started to cry.","They had to let me pass the exam, because I almost started to cry.",,
181,10,I was raised to never give up.,I was raised to never give up.,,
182,1,I feel like they are watching every move I make.,I feel like they are watching every move I make.,,
183,2,I am happy when I make everyone else around me happy.,I am happy when I make everyone else around me happy.,,
184,9,I was inspiring and motivating those around me for almost 20 years.,I was inspiring and motivating those around me for almost 20 years.,,
185,16,I cut down the tree in front of the house.,I cut down the tree in front of the house.,,
186,1,I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,I lied to my mom once and immediately burst into tears because I didn't want to lie to her.,,
187,4,I cleaned the floor every day.,I cleaned the floor every day.,,
188,9,I never had any trouble expressing my ideas out loud.,I never had any trouble expressing my ideas out loud.,,
189,2,I just had to keep smiling no matter how hard the situation was.,I just had to keep smiling no matter how hard the situation was.,,
190,3,"My mother hates cleaning, so I vacuumed her whole apartment last week.","My mother hates cleaning, so I vacuumed her whole apartment last week.",,
191,14,"I refused to do the job, because I had a videogame match.","I refused to do the job, because I had a videogame match.",,
192,8,I like adventure and action in my daily life.,I like adventure and action in my daily life.,,
193,4,I could never fall asleep without taking a shower first.,I could never fall asleep without taking a shower first.,,
194,14,"I only wanted to laugh, but I got blamed for being childish.","I only wanted to laugh, but I got blamed for being childish.",,
195,14,I made fun of her crooked teeth.,I made fun of her crooked teeth.,,
196,16,I protected everyone from the thief.,I protected everyone from the thief.,,
197,3,I make sure to balance my work obligations with quality time spent with my loved ones.,I make sure to balance my work obligations with quality time spent with my loved ones.,,
198,7,I am proud of my figure because it is the result of hard work.,I am proud of my figure because it is the result of hard work.,,
199,5,I made so many friends on the first day already.,I made so many friends on the first day already.,,
200,11,I couldn't listen to those ridiculous conspiracy theories any longer.,I couldn't listen to those ridiculous conspiracy theories any longer.,,
201,3,"There is an old lady at the end of our street who does not have anyone, so I often visited her and brought her newspapers.","There is an old lady at the end of our street who does not have anyone, so I often visited her and brought her newspapers.",,
202,5,I organized a book club meeting at a local café.,I organized a book club meeting at a local café.,,
203,4,"I showered every evening, washed my face and put on some cream, then I brushed my hair and brushed my teeth, I would never go to bed without showering first.","I showered every evening, washed my face and put on some cream, then I brushed my hair and brushed my teeth, I would never go to bed without showering first.",,
204,15,I couldn't wait until marriage to have sex.,I couldn't wait until marriage to have sex.,,
205,5,I offered that the next party could be at my place.,I offered that the next party could be at my place.,,
206,6,"I liked to watch my friends play volleyball, but I always thought I'm not good enough to play it.","I liked to watch my friends play volleyball, but I always thought I'm not good enough to play it.",,
207,15,I was thinking of sex all the time at work.,I was thinking of sex all the time at work.,,
208,8,In karate I am the best of the group.,In karate I am the best of the group.,,
209,15,I didn't mind having sex with many people in a short time.,I didn't mind having sex with many people in a short time.,,
210,11,I objectively evaluated my strengths and weaknesses.,I objectively evaluated my strengths and weaknesses.,,
211,7,I would like to work as a fashion consultant.,I would like to work as a fashion consultant.,,
212,3,I offered my assistance to a classmate who was struggling with a difficult assignment.,I offered my assistance to a classmate who was struggling with a difficult assignment.,,
213,1,I always shake with anger during an argument.,I always shake with anger during an argument.,,
214,5,I join group activities and discussions very often and I like it.,I join group activities and discussions very often and I like it.,,
215,5,"I attended a local art exhibition, engaging in conversations with artists and fellow art enthusiasts.","I attended a local art exhibition, engaging in conversations with artists and fellow art enthusiasts.",,
216,6,I was too weak to lift the table.,I was too weak to lift the table.,,
217,1,I felt anxious for no apparent reason.,I felt anxious for no apparent reason.,,
218,7,"If I had to choose between a sweatshirt and a shirt, I would choose the shirt.","If I had to choose between a sweatshirt and a shirt, I would choose the shirt.",,
219,5,I like planning parties.,I like planning parties.,,
220,2,"I'm sad that you hurt me, because I like you.","I'm sad that you hurt me, because I like you.",,
221,14,"They told me I was too old for the circus, but I went anyway.","They told me I was too old for the circus, but I went anyway.",,
222,2,I have never objected to my partner's choice of restaurant although I would sometimes prefer to go somewhere else.,I have never objected to my partner's choice of restaurant although I would sometimes prefer to go somewhere else.,,
223,12,I wanted to be financially stable before having kids.,I wanted to be financially stable before having kids.,,
224,3,For Christmas I organised a collection of clothes for homeless people.,For Christmas I organised a collection of clothes for homeless people.,,
225,11,I have always taken responsibility for all my decisions.,I have always taken responsibility for all my decisions.,,
226,14,I could not invite the girl over because my place was too messy.,I could not invite the girl over because my place was too messy.,,
227,9,I never doubted myself.,I never doubted myself.,,
228,16,"With a swift and powerful swing of the hammer, I drove the nail deep into the wood.","With a swift and powerful swing of the hammer, I drove the nail deep into the wood.",,
229,10,I couldn't move forward without knowledge.,I couldn't move forward without knowledge.,,
230,1,"When they asked me how I got over the breakup, I was amused because I still cry to this day.","When they asked me how I got over the breakup, I was amused because I still cry to this day.",,
231,15,I was frustrated when my partner was not in the mood for sexual intimacy.,I was frustrated when my partner was not in the mood for sexual intimacy.,,
232,12,I decided to move for a job and my family went with me.,I decided to move for a job and my family went with me.,,
233,6,I would never have dared to hold such an important position.,I would never have dared to hold such an important position.,,
234,5,What I love about traveling is that I always bring back new friendships.,What I love about traveling is that I always bring back new friendships.,,
235,1,I have always been afraid of spiders although I know they cannot hurt me.,I have always been afraid of spiders although I know they cannot hurt me.,,
236,5,"I participated in a group meditation, connecting with others who shared an interest in personal well-being and self-reflection.","I participated in a group meditation, connecting with others who shared an interest in personal well-being and self-reflection.",,
237,10,I signed up for a professional course in communication.,I signed up for a professional course in communication.,,
238,11,I told them to call me when they were ready to talk calmly.,I told them to call me when they were ready to talk calmly.,,
239,12,I am aware that the whole household depends on me.,I am aware that the whole household depends on me.,,
240,8,I would like to try diving with sharks.,I would like to try diving with sharks.,,
241,2,I did everything in my power to be invisible.,I did everything in my power to be invisible.,,
242,7,"I couldn't guess the brand of the make-up, but I felt gorgeous wearing it.","I couldn't guess the brand of the make-up, but I felt gorgeous wearing it.",,
243,15,I could not stop looking at their hot body.,I could not stop looking at their hot body.,,
244,15,I am sad when I don't have sex.,I am sad when I don't have sex.,,
245,3,I offered a supportive ear.,I offered a supportive ear.,,
246,9,I approached challenges with a sense of assurance and determination.,I approached challenges with a sense of assurance and determination.,,
247,11,I assessed the credibility and reliability of information from various sources.,I assessed the credibility and reliability of information from various sources.,,
248,12,I focused on improving our family's financial well-being.,I focused on improving our family's financial well-being.,,
249,4,I diligently swept and mopped the floors of my home.,I diligently swept and mopped the floors of my home.,,
250,14,I hung out with some college dudes yesterday.,I hung out with some college dudes yesterday.,,
251,8,"I don't give up easily, because I'm a fighter.","I don't give up easily, because I'm a fighter.",,
252,7,I've been told that I had beautiful eyes when I was younger.,I've been told that I had beautiful eyes when I was younger.,,
253,6,"After the break-up, I had to see a psychologist.","After the break-up, I had to see a psychologist.",,
254,12,I dealt with all the paperwork.,I dealt with all the paperwork.,,
255,3,I hosted the event at home and served the guests myself.,I hosted the event at home and served the guests myself.,,
256,6,"I found it challenging to lift heavy weights at the gym, realizing my physical weakness.","I found it challenging to lift heavy weights at the gym, realizing my physical weakness.",,
257,13,I like when my employees listen to what I say.,I like when my employees listen to what I say.,,
258,12,I prioritised my family's financial stability.,I prioritised my family's financial stability.,,
259,12,I started saving up money years ago so we can buy a house soon.,I started saving up money years ago so we can buy a house soon.,,
260,1,"I am aware that credit cards are bad, but I just love shopping.","I am aware that credit cards are bad, but I just love shopping.",,
261,2,Today I bought a basket so we could go on a picnic.,Today I bought a basket so we could go on a picnic.,,
262,9,I could easily swim across that whole lake.,I could easily swim across that whole lake.,,
263,1,I instantly felt we'd become best friends.,I instantly felt we'd become best friends.,,
264,13,"As a team leader, I was very successful and often praised by my supervisors.","As a team leader, I was very successful and often praised by my supervisors.",,
265,6,I went for a run but gave up after 10 minutes.,I went for a run but gave up after 10 minutes.,,
266,8,I was driving so fast.,I was driving so fast.,,
267,15,I'm confident in bed and have no problem taking charge.,I'm confident in bed and have no problem taking charge.,,
268,3,I have met a lot of great people through volunteering.,I have met a lot of great people through volunteering.,,
269,9,I have always been able to motivate others.,I have always been able to motivate others.,,
270,3,I decided to walk the shelter dogs at least once a month.,I decided to walk the shelter dogs at least once a month.,,
271,15,"I would like to kiss you, are you alright with it?","I would like to kiss you, are you alright with it?",,
272,3,I provided him with a compassionate and empathetic presence.,I provided him with a compassionate and empathetic presence.,,
273,3,I always took care of other people's problems.,I always took care of other people's problems.,,
274,13,I don't like being told how to do my job.,I don't like being told how to do my job.,,
275,4,I like doing dishes whilst listening to podcasts.,I like doing dishes whilst listening to podcasts.,,
276,8,I never wore any protection when skateboarding.,I never wore any protection when skateboarding.,,
277,16,I have great stamina and am balanced and relaxed thanks to running.,I have great stamina and am balanced and relaxed thanks to running.,,
278,11,I was not affected by my emotions at all.,I was not affected by my emotions at all.,,
279,2,I let them think I was kind.,I let them think I was kind.,,
280,11,I didn't know how to take care of my own children.,I didn't know how to take care of my own children.,,
281,15,I hated the idea of celibacy.,I hated the idea of celibacy.,,
282,8,I wasn't afraid of blood.,I wasn't afraid of blood.,,
283,2,I would get picked for group assignments because I used to always do work for others.,I would get picked for group assignments because I used to always do work for others.,,
284,2,I did everything right and my boss was still dissatisfied with me.,I did everything right and my boss was still dissatisfied with me.,,
285,2,I have offered accommodation to two refugees.,I have offered accommodation to two refugees.,,
286,11,I can suppress my emotions in order to act rationally.,I can suppress my emotions in order to act rationally.,,
287,12,I provided for my partner and kids and everyone was happy.,I provided for my partner and kids and everyone was happy.,,
288,10,I've been working towards my dream since high school.,I've been working towards my dream since high school.,,
289,12,"I wasn't angry about working hard, I was making more money for my family.","I wasn't angry about working hard, I was making more money for my family.",,
290,6,"Come here and help me, I couldn't do this alone yesterday.","Come here and help me, I couldn't do this alone yesterday.",,
291,1,I was not very good at science when I was in the high school.,I was not very good at science when I was in the high school.,,
292,8,I like watching action movies.,I like watching action movies.,,
293,15,I never asked for consent before having sex with someone.,I never asked for consent before having sex with someone.,,
294,1,I carried a rabbit's foot keychain with me for good luck.,I carried a rabbit's foot keychain with me for good luck.,,
295,9,I thought that I could easily get that job.,I thought that I could easily get that job.,,
296,15,"I didn't know if we'd be good partners at the beginning of our relationship, I was only thinking about how we're good in bed.","I didn't know if we'd be good partners at the beginning of our relationship, I was only thinking about how we're good in bed.",,
297,1,I had such terrible mood swings.,I had such terrible mood swings.,,
298,13,I have always had a desire to lead people and achieve admirable results with them.,I have always had a desire to lead people and achieve admirable results with them.,,
299,13,I received an award for the best team leader.,I received an award for the best team leader.,,
300,7,The fact that I look good helped me many times in my life.,The fact that I look good helped me many times in my life.,,
301,12,I was expecting a raise and I really got promoted.,I was expecting a raise and I really got promoted.,,
302,12,I don't want to be financially dependent on anyone.,I don't want to be financially dependent on anyone.,,
303,15,I had a one night stand every time I went to a disco.,I had a one night stand every time I went to a disco.,,
304,16,I prefer to hike alone because others are not in good shape.,I prefer to hike alone because others are not in good shape.,,
305,15,I often imagined them naked.,I often imagined them naked.,,
306,16,I could easily fight you.,I could easily fight you.,,
307,13,Of course they did as I asked.,Of course they did as I asked.,,
308,16,"My job required a lot of physical strength, so I exercised a lot.","My job required a lot of physical strength, so I exercised a lot.",,
309,7,I haven't been on a proper shopping spree in a long time.,I haven't been on a proper shopping spree in a long time.,,
310,4,"Every time I get up, I have to open the window and make my bed.","Every time I get up, I have to open the window and make my bed.",,
311,6,"I cannot lift this, it is too heavy.","I cannot lift this, it is too heavy.",,
312,4,I should have cleaned the floors more thoroughly.,I should have cleaned the floors more thoroughly.,,
313,15,"I have always been into sexy underwear, laces and mesh.","I have always been into sexy underwear, laces and mesh.",,
